VELORA MOTORS - CUSTOMER BILLING EXPORT
================================

INV-1001 | Omar Al-Khatib | BMW XM Label | 2 days | $1,040.00 | $0.00 | $104.00 | $1,144.00 | Paid
INV-1002 | Omar Al-Khatib | BMW XM 50e | 3 days | $1,290.00 | $0.00 | $129.00 | $1,419.00 | Pending
INV-1003 | Omar Al-Khatib | BMW X7 M60i | 4 days | $1,560.00 | $0.00 | $156.00 | $1,716.00 | Paid
INV-1004 | Omar Al-Khatib | BMW X6 M Competition | 5 days | $2,350.00 | $155.00 | $250.50 | $2,755.50 | Overdue
INV-1005 | Omar Al-Khatib | BMW X6 M60i | 6 days | $2,160.00 | $0.00 | $216.00 | $2,376.00 | Paid
INV-1006 | Omar Al-Khatib | BMW X5 M Competition | 7 days | $3,080.00 | $0.00 | $308.00 | $3,388.00 | Pending
INV-1007 | Omar Al-Khatib | BMW X5 M60e xDrive | 8 days | $2,720.00 | $0.00 | $272.00 | $2,992.00 | Paid
INV-1008 | Omar Al-Khatib | BMW X3 M50 | 2 days | $520.00 | $0.00 | $52.00 | $572.00 | Pending
INV-1009 | Omar Al-Khatib | BMW X2 M35i | 3 days | $630.00 | $0.00 | $63.00 | $693.00 | Paid
INV-1010 | Omar Al-Khatib | BMW X1 M35i | 4 days | $760.00 | $85.00 | $84.50 | $929.50 | Overdue
INV-1011 | Omar Al-Khatib | BMW iX M70 | 5 days | $2,050.00 | $0.00 | $205.00 | $2,255.00 | Paid
INV-1012 | Omar Al-Khatib | BMW i7 M70 xDrive | 6 days | $2,880.00 | $0.00 | $288.00 | $3,168.00 | Pending
